image_id,doi,split,excluded_fraction,eligible
3f97a9e821,10.1016.j.saa.2020.118343,test,0.1236,False
404b0836f1,10.1016.j.apsusc.2020.146005,train,0.1379,True
406975041a,10.1016.j.biomaterials.2020.120167,train,0.1267,True
406d70e411,10.1016.j.jhazmat.2019.121491,train,0.1399,True
40afb05b44,10.1016.j.bsecv.2020.03.004,test,0.1279,False
410284d28b,10.1016.j.reactfunctpolym.2019.104441,train,0.136,True
41ac55ed12,10.1016.j.apsusc.2018.01.189,train,0.1346,True
41bb4d19a4,10.1016.j.apmt.2019.07.017,train,0.1243,True
41c25dca24,10.1016.j.carbon.2019.12.021,train,0.1433,True
42750053e0,10.1016.j.cej.2020.125117,train,0.1226,True
427ebc9e15,10.1016.j.polymer.2017.02.080,train,0.2228,True
434e287439,10.1016.j.ijhydene.2019.11.192,train,0.1307,True
43875c5b20,10.1016.j.apsusc.2017.02.159,train,0.1254,True
43be4d0a2c,10.1016.j.arabjc.2015.08.008,train,0.1295,True
441414704c,10.1016.j.ijpharm.2019.118976,train,0.1324,True
453123a947,10.1016.j.carbpol.2016.07.018,train,0.215,True
4545280c2b,10.1016.j.snb.2020.127831,train,0.1328,True
4628753cd8,10.1016.j.cattod.2016.02.047,train,0.1423,True
47286679c2,10.1016.j.polymer.2017.02.080,train,0.1741,True
478a6c42ec,10.1016.j.apsusc.2020.146005,train,0.1448,True
482193653a,10.1016.j.optmat.2018.06.038,train,0.118,True
4822787326,10.1016.j.saa.2020.118104,validation,0.1319,True
48f3a148f6,10.1016.j.carbpol.2019.115709,train,0.1672,True
4b07dbd803,10.1016.j.apsusc.2020.146597,train,0.1339,True
4bafa92eec,10.1016.j.powtec.2017.06.042,test,0.1361,False
4cd9e65aae,10.1016.j.cej.2020.124096,train,0.1393,True
4d951b622f,10.1016.j.ceramint.2019.10.198,test,0.1196,False
4e13b5c5f8,10.1016.j.cclet.2019.01.002,test,0.1396,False
4ec7671d11,10.1016.j.chemosphere.2019.05.269,train,0.1417,True
50a4901372,10.1016.j.orgel.2018.05.061,train,0.1389,True
513158cf83,10.1016.j.carbpol.2018.11.033,train,0.1291,True
516b2f0aa8,10.1016.j.bios.2019.111790,test,0.1265,False
51f82fcb93,10.1016.j.ultsonch.2019.104727,train,0.1332,True
53025d5189,10.1016.j.aca.2018.07.020,test,0.1219,False
535134e785,10.1016.j.saa.2019.117890,train,0.1268,True
544b32e4cd,10.1016.j.addma.2019.100919,train,0.1201,True
55511ff512,10.1016.j.saa.2020.118430,train,0.135,True
555eb05b4c,10.1016.j.jallcom.2018.12.085,train,0.6173,True
5568be0f4c,10.1016.j.ultsonch.2019.104727,train,0.1365,True
5737e0c2c7,10.1016.j.cej.2019.123671,train,0.1287,True
5842aa1a32,10.1016.j.heliyon.2019.e01165,train,0.1352,True
586dc6cc59,10.1016.j.ccr.2015.08.002,train,0.1277,True
5898a2ac02,10.1016.j.aca.2020.01.049,train,0.1261,True
58e8237dab,10.1016.j.apt.2019.10.001,train,0.1342,True
59424b060a,10.1016.j.cej.2017.03.050,train,0.1187,True
5a25d179cc,10.1016.j.carbpol.2019.115252,test,0.1269,False
5a65f9eba2,10.1016.j.jallcom.2019.06.300,test,0.1422,False
5a6c23682b,10.1016.j.foodchem.2020.126575,train,0.1338,True
5addfe7111,10.1016.j.carbpol.2018.09.089,train,0.1229,True
5c1cd79e2e,10.1016.j.cej.2015.12.020,train,0.1697,True
5c244a9ea8,10.1016.j.chemosphere.2017.05.118,train,0.2806,True
5c418c2eb0,10.1016.j.jhazmat.2020.122226,train,0.1331,True
5d72761807,10.1016.j.ultramic.2016.08.008,train,0.7593,True
5e22377208,10.1016.j.rinp.2019.102882,validation,0.1247,True
5eb66b74ea,10.1016.j.biomaterials.2016.11.010,train,0.1305,True
5f42a8d4a9,10.1016.j.saa.2020.118343,test,0.1237,False
5fc8c5b53c,10.1016.j.jiec.2019.05.007,train,0.1218,True
60c63e2383,10.1016.j.cej.2020.124676,test,0.1199,False
60feb7de8f,10.1016.j.polymer.2017.02.080,train,0.1765,True
611b9564a4,10.1016.j.apsusc.2017.07.106,train,0.1273,True
6169a602a0,10.1016.j.powtec.2019.07.029,train,0.1291,True
62223ab32f,10.1016.j.chemgeo.2016.12.027,train,0.1245,True
62594342ac,10.1016.j.aca.2020.03.052,validation,0.1336,True
627acee9c4,10.1016.j.msec.2017.04.127,test,0.1294,False
62a54f335d,10.1016.j.bios.2019.111452,train,0.1255,True
62e729e838,10.1016.j.jcis.2016.01.026,train,0.127,True
6360a823da,10.1016.j.ijbiomac.2019.04.196,train,0.132,True
636334b3f1,10.1016.j.ijhydene.2020.01.020,train,0.133,True
63df66fb4d,10.1016.j.ijpharm.2016.01.054,validation,0.1321,True
6643f01cf4,10.1016.j.jhazmat.2020.122900,train,0.1301,True
66a6ddb34e,10.1016.j.solidstatesciences.2020.106179,train,0.1394,True
671b7c8831,10.1016.j.vacuum.2019.109044,validation,0.1237,True
6752c27137,10.1016.j.powtec.2019.07.029,train,0.124,True
691f7638fd,10.1016.j.seppur.2019.116100,train,0.1313,True
6a291d0bb4,10.1016.j.nantod.2020.100854,train,0.1209,True
6c52a10c75,10.1016.j.mtchem.2016.11.005,train,0.1257,True
6d0f510327,10.1016.j.actbio.2019.04.056,train,0.1362,True
6d1574872b,10.1016.j.apmt.2019.07.017,train,0.1256,True
6db657d4f7,10.1016.j.apsusc.2020.145894,validation,0.1317,True
6de290c824,10.1016.j.jhazmat.2020.122348,train,0.1269,True
6e16b7dcb7,10.1016.j.apcatb.2019.118142,train,0.1354,True
6fe6ed78ab,10.1016.j.flatc.2017.07.004,test,0.2136,False
70345dfad1,10.1016.j.colsurfb.2016.05.036,test,0.1468,False
707120d0f5,10.1016.j.actbio.2016.12.014,train,0.1274,True
70f9f13af4,10.1016.j.bios.2018.03.016,train,0.1291,True
724248a877,10.1016.j.foodres.2020.109408,test,0.1387,False
72507b07bc,10.1016.j.msec.2020.111062,validation,0.1282,True
728f55aed4,10.1016.j.apcatb.2020.118606,test,0.1324,False
736f1a3eb2,10.1016.j.seppur.2019.116364,train,0.1281,True
738c326d73,10.1016.j.arabjc.2018.03.016,train,0.1231,True
73e0a09cd2,10.1016.j.reactfunctpolym.2019.104325,validation,0.1222,True
74391d74bd,10.1016.j.reactfunctpolym.2020.104520,train,0.1296,True
74ef917e76,10.1016.j.orgel.2018.05.061,train,0.7918,True
75e968af41,10.1016.j.saa.2019.117890,train,0.1252,True
763c317d5d,10.1016.j.saa.2019.117890,train,0.1239,True
76dde347fc,10.1016.j.bcab.2020.101627,train,0.1279,True
7701ac03c1,10.1016.j.solener.2019.12.053,train,0.1471,True
77f09d7ca4,10.1016.j.biomaterials.2017.06.008,train,0.1293,True
782d7f752d,10.1016.j.aca.2019.02.037,train,0.1312,True
78834ed976,10.1016.j.actbio.2016.06.003,train,0.2659,True
78847f96ee,10.1016.j.cej.2019.123984,train,0.1354,True
78b42bc5e8,10.1016.j.ceramint.2019.10.126,train,0.1265,True
78bda6c73b,10.1016.j.pmatsci.2020.100671,train,0.1379,True
78c63579ba,10.1016.j.jallcom.2019.05.208,train,0.1344,True
7988097925,10.1016.j.apsusc.2020.145360,validation,0.1315,True
7a48f5b4d5,10.1016.j.cej.2019.123671,train,0.1254,True
7ab1f4b7ba,10.1016.j.snb.2019.127107,train,0.1287,True
7b76562318,10.1016.j.talanta.2017.03.037,validation,0.1321,True
7c5501d292,10.1016.j.jhazmat.2019.121049,test,0.1295,False
7d54a1c5b3,10.1016.j.saa.2019.117890,train,0.1242,True
7e0c56c44b,10.1016.j.jinorgbio.2019.04.001,train,0.132,True
7e85b64066,10.1016.j.snb.2018.07.123,train,0.1409,True
7ea28e7e54,10.1016.j.cej.2019.122990,train,0.1286,True
7ecd3c2ab9,10.1016.j.polymertesting.2019.106110,train,0.1159,True
7f1a5b0782,10.1016.j.apsusc.2020.145360,validation,0.1316,True
7f50b86c4b,10.1016.j.mtchem.2016.11.005,train,0.1269,True
7f94f4bdab,10.1016.j.snb.2017.10.179,train,0.1312,True
7fabcfe23f,10.1016.j.reactfunctpolym.2017.03.004,train,0.131,True
802e607c7c,10.1016.j.jmmm.2016.11.113,train,0.1294,True
80719af02f,10.1016.j.snb.2019.127107,train,0.1209,True
80d6a1f25a,10.1016.j.micromeso.2017.03.028,train,0.1312,True
8136144eaf,10.1016.j.ijbiomac.2020.04.179,test,0.1321,False
82b9b9c2af,10.1016.j.jece.2017.08.017,train,0.144,True
82c99bbb53,10.1016.j.apsusc.2020.145778,train,0.2299,True
82e8007547,10.1016.j.aca.2020.01.049,train,0.1273,True
83afcabd95,10.1016.j.snb.2018.09.092,test,0.1506,False
83fd5c9288,10.1016.j.ijbiomac.2019.01.191,train,0.1284,True
848b740671,10.1016.j.apsusc.2019.144631,validation,0.1425,True
84a6330bdb,10.1016.j.apsusc.2016.06.199,test,0.1353,False
854de5be19,10.1016.j.carbon.2019.11.046,validation,0.1459,True
85743c45d1,10.1016.j.ijpharm.2017.01.014,train,0.1317,True
85a5d4d8b9,10.1016.j.apsusc.2020.145360,validation,0.155,True
85dedcfd30,10.1016.j.actbio.2020.04.055,train,0.1227,True
85f5efb77d,10.1016.j.saa.2019.117890,train,0.1252,True
864a2a6ccf,10.1016.j.cej.2019.122595,train,0.1291,True
87429394b0,10.1016.j.inoche.2019.107688,test,0.3749,False
88808139d3,10.1016.j.saa.2019.117177,train,0.1205,True
891f96f60d,10.1016.j.cej.2019.122990,train,0.1321,True
893215335a,10.1016.j.aca.2019.02.037,train,0.1286,True
89e4044418,10.1016.j.bios.2019.111945,train,0.1269,True
8b40ed2a82,10.1016.j.ceramint.2020.05.085,train,0.1269,True
8b7ce99d43,10.1016.j.apt.2019.10.001,train,0.1347,True
8bf3782470,10.1016.j.nanoen.2019.03.008,test,0.2809,False
8c22d1acd5,10.1016.j.jconrel.2016.01.034,test,0.1268,False
8cee575b39,10.1016.j.cclet.2019.02.006,validation,0.2566,True
8d7fc4c578,10.1016.j.bios.2016.02.056,train,0.1309,True
8dffc01cc2,10.1016.j.apsusc.2017.05.051,test,0.1741,False
8e1269eba3,10.1016.j.saa.2019.117177,train,0.1356,True
8e50748a7b,10.1016.j.cej.2019.122855,train,0.1239,True
8e68b05e0e,10.1016.j.ceramint.2019.01.145,train,0.1296,True
8f9db31734,10.1016.j.apsusc.2019.144113,test,0.167,False
8fde53b05f,10.1016.j.chemosphere.2017.05.118,train,0.1347,True
90615b870a,10.1016.j.ultramic.2018.10.011,test,0.1339,False
913312cfdf,10.1016.j.snb.2019.03.085,train,0.1334,True
923cab32ee,10.1016.j.jpcs.2019.02.032,test,0.1223,False
9246d32fe0,10.1016.j.ceramint.2019.10.198,test,0.1193,False
9318f3ce70,10.1016.j.colsurfb.2017.09.011,validation,0.1277,True
934d76aaf2,10.1016.j.aca.2019.02.037,train,0.1526,True
93ed483d79,10.1016.j.pmatsci.2016.04.003,train,0.1293,True
95e201a1fe,10.1016.j.snb.2017.01.046,train,0.1262,True
96c772f28b,10.1016.j.bios.2016.03.014,test,0.1741,False
9797ed1000,10.1016.j.apmt.2019.07.017,train,0.1277,True
97e645b56e,10.1016.j.ijhydene.2016.06.263,train,0.1264,True
986f86c3b5,10.1016.j.jpcs.2019.02.032,test,0.1534,False
98a18b7db9,10.1016.j.apsusc.2018.04.093,test,0.1327,False
9928dad0ac,10.1016.j.cej.2020.124707,train,0.1291,True
99eb4bad25,10.1016.j.apcatb.2020.118606,test,0.1193,False
9c29ca7edf,10.1016.j.micromeso.2017.03.028,train,0.1228,True
9c4905d020,10.1016.j.colsurfb.2017.09.009,validation,0.1329,True
9c68e03e41,10.1016.j.surfcoat.2017.10.022,train,0.1275,True
9c9d1af243,10.1016.j.cej.2019.122852,train,0.1256,True
9ca16b98df,10.1016.j.jcis.2016.12.001,train,0.1276,True
9d2e813224,10.1016.j.actbio.2018.05.038,train,0.1251,True
9d358e8c8a,10.1016.j.talanta.2019.120178,train,0.1271,True
9dc60257e5,10.1016.j.jphotochem.2017.08.020,validation,0.7681,True
9ef6e6b29d,10.1016.j.abb.2016.01.013,validation,0.1211,True
9fa90de188,10.1016.j.cej.2019.122990,train,0.209,True
9fac661e24,10.1016.j.actbio.2020.04.055,train,0.1206,True
a027b64ae9,10.1016.j.biomaterials.2020.120167,train,0.1272,True
a1315df346,10.1016.j.ijpharm.2019.118650,train,0.123,True
a1dada3898,10.1016.j.scitotenv.2018.10.145,train,0.1413,True
a1e18db01a,10.1016.j.msec.2019.109797,test,0.1294,False
a2883fc6eb,10.1016.j.apmt.2019.100497,test,0.133,False
a3eb38c236,10.1016.j.talanta.2017.07.021,train,0.128,True
a4027c076c,10.1016.j.cattod.2016.02.047,train,0.1448,True
a45586af89,10.1016.j.ultsonch.2017.06.027,train,0.1216,True
a492171fa8,10.1016.j.polymertesting.2019.106110,train,0.1175,True
a4b639ab1a,10.1016.j.msec.2019.110602,train,0.1257,True
a562af31ea,10.1016.j.nano.2018.08.003,test,0.1298,False
a59bcf3f13,10.1016.j.snb.2019.127107,train,0.1344,True
a630b192d4,10.1016.j.optmat.2020.109986,train,0.1307,True
a66c75354a,10.1016.j.surfcoat.2020.125856,train,0.1207,True
a68915823c,10.1016.j.apsusc.2017.05.179,train,0.1281,True
a880175367,10.1016.j.bios.2019.03.059,test,0.1266,False
a8851978de,10.1016.j.ijhydene.2018.04.204,train,0.1286,True
a8e3f32537,10.1016.j.apsusc.2015.11.233,test,0.1315,False
a9a628444d,10.1016.j.apt.2019.10.001,train,0.132,True
aa309f6cec,10.1016.j.jcis.2016.01.026,train,0.1379,True
aa968ec1b2,10.1016.j.cej.2019.122762,train,0.1484,True
ab82fe7827,10.1016.j.ijhydene.2020.01.020,train,0.1326,True
ac49e14130,10.1016.j.jhazmat.2020.122567,train,0.127,True
ae001af29f,10.1016.j.eurpolymj.2020.109818,train,0.1342,True
ae690251d5,10.1016.j.actbio.2020.04.055,train,0.1192,True
ae843e9fc0,10.1016.j.apcatb.2017.05.020,test,0.5415,False
af124a45d9,10.1016.j.ijleo.2019.163676,train,0.1314,True
af2a275342,10.1016.j.apcatb.2020.118700,validation,0.1289,True
af674cfe7e,10.1016.j.jhazmat.2019.121714,train,0.152,True
b0e3041a0d,10.1016.j.carbon.2016.10.005,validation,0.1557,True
b16f4f83a4,10.1016.j.aca.2019.10.060,train,0.1293,True
b19f6f3309,10.1016.j.arabjc.2016.04.004,train,0.1306,True
b1fc590830,10.1016.j.sjbs.2019.10.006,test,0.1295,False
b23c478d84,10.1016.j.biotechadv.2018.02.016,train,0.1245,True
b2a7683174,10.1016.j.ijbiomac.2019.08.234,train,0.1284,True
b2f6f1bbf9,10.1016.j.powtec.2017.06.042,test,0.1273,False
b392e4784f,10.1016.j.actbio.2018.05.038,train,0.1265,True
b3e7900e39,10.1016.j.jhazmat.2019.121714,train,0.1314,True
b452204939,10.1016.j.ijbiomac.2019.01.191,train,0.1359,True
b4ab2ea927,10.1016.j.cej.2019.122175,train,0.1326,True
b5ba9813a4,10.1016.j.jpowsour.2017.01.058,test,0.1226,False
b616ffa779,10.1016.j.bios.2019.111970,train,0.1315,True
b657336f23,10.1016.j.indcrop.2020.112164,train,0.1282,True
b78bdee5d3,10.1016.j.apsusc.2019.144113,test,0.1358,False
b78f5fdc22,10.1016.j.jmst.2019.10.032,train,0.1347,True
b85f5e414c,10.1016.j.carbon.2019.12.021,train,0.1278,True
b8e9061c90,10.1016.j.saa.2019.117177,train,0.122,True
b95828224e,10.1016.j.colsurfa.2016.02.033,test,0.1241,False
b996f341bd,10.1016.j.ceramint.2019.06.060,train,0.1532,True
b9deddff33,10.1016.j.saa.2020.118343,test,0.122,False
bb3d8c922b,10.1016.j.biopha.2018.11.093,train,0.1252,True
bbb27830b9,10.1016.j.nanoso.2019.100413,train,0.2476,True
bc1fe886af,10.1016.j.apcatb.2020.118606,test,0.1348,False
bc5529f7ca,10.1016.j.carbpol.2020.116105,train,0.1337,True
bcab6454cf,10.1016.j.carbpol.2017.03.031,test,0.128,False
be5df16bd4,10.1016.j.snb.2019.03.085,train,0.1344,True
bf57480a38,10.1016.j.electacta.2018.05.016,validation,0.1262,True
bf6f1a320a,10.1016.j.actbio.2018.02.010,train,0.1223,True
bf901d32a3,10.1016.j.memsci.2017.03.040,train,0.1304,True
bfb2a25730,10.1016.j.inoche.2016.08.001,train,0.1271,True
c0ba8a65a5,10.1016.j.apsusc.2017.03.154,test,0.1361,False
c0fcfec15c,10.1016.j.bios.2019.111355,test,0.1328,False
c1bfc4308b,10.1016.j.apcatb.2019.118560,train,0.1262,True
c1cccb3332,10.1016.j.actbio.2019.04.022,test,0.128,False
c1d32ab54d,10.1016.j.jiec.2019.05.007,train,0.1298,True
c294fece54,10.1016.j.ijbiomac.2020.04.179,test,0.2191,False
c355821ea6,10.1016.j.photonics.2017.04.007,train,0.1277,True
c363833ad2,10.1016.j.apcatb.2016.10.081,test,0.5232,False
c36b04376a,10.1016.j.tet.2018.11.035,train,0.1407,True
c3d3764a5a,10.1016.j.actbio.2020.04.055,train,0.1213,True
c5c0825297,10.1016.j.apsusc.2020.145360,validation,0.1287,True
c61a50a061,10.1016.j.cej.2020.124676,test,0.126,False
c6ea896731,10.1016.j.ceramint.2020.02.164,train,0.1306,True
c7e9ec8d48,10.1016.j.apsusc.2019.144631,validation,0.1539,True
c812c93fbd,10.1016.j.carbon.2019.12.021,train,0.1298,True
c83a6e91b0,10.1016.j.jhazmat.2019.121687,train,0.1291,True
c88cae3e95,10.1016.j.cej.2019.122389,train,0.1632,True
c984680063,10.1016.j.ijbiomac.2019.01.191,train,0.1298,True
ca780314cd,10.1016.j.apcatb.2016.08.003,validation,0.134,True
cb13cb5f85,10.1016.j.jhazmat.2019.05.080,test,0.1273,False
cc87926397,10.1016.j.actbio.2019.11.023,test,0.1263,False
cc9540d282,10.1016.j.electacta.2017.03.122,validation,0.1789,True
cd22803960,10.1016.j.snb.2019.127107,train,0.1287,True
cd48200d46,10.1016.j.bios.2019.01.027,train,0.1281,True
ce2f96aae1,10.1016.j.apsusc.2020.145360,validation,0.1395,True
ce39bb3c03,10.1016.j.jhazmat.2020.122312,train,0.123,True
ce41e4e56d,10.1016.j.apsusc.2020.145360,validation,0.1372,True
ce46819633,10.1016.j.cej.2020.125194,validation,0.1347,True
ce6d981687,10.1016.j.ceramint.2019.12.153,validation,0.1337,True
cecb19b837,10.1016.j.ultramic.2018.10.011,test,0.1251,False
cef2196885,10.1016.j.nantod.2019.02.009,train,0.1491,True
cf6823322f,10.1016.j.jlumin.2018.12.055,train,0.1243,True
cf703078f2,10.1016.j.actbio.2019.01.002,test,0.1294,False
d04d7ced9f,10.1016.j.optmat.2020.109986,train,0.1361,True
d28fb3e471,10.1016.j.jphotobiol.2019.03.021,test,0.1284,False
d29d644539,10.1016.j.carbpol.2018.11.033,train,0.1254,True
d3971746e0,10.1016.j.biomaterials.2016.10.022,train,0.133,True
d3ed612a2d,10.1016.j.ijpharm.2017.01.014,train,0.4229,True
d4b73860c3,10.1016.j.vacuum.2019.109044,validation,0.1242,True
d54e727066,10.1016.j.jhazmat.2019.121049,test,0.1224,False
d5e8abb61d,10.1016.j.snb.2020.128412,test,0.1848,False
d6613c4ec5,10.1016.j.heliyon.2019.e01165,train,0.1741,True
d722a3a383,10.1016.j.ceramint.2020.02.165,train,0.1244,True
d7da1a24ad,10.1016.j.synthmet.2019.116229,train,0.1274,True
d822219f76,10.1016.j.carbon.2019.09.041,train,0.156,True
d83980d44e,10.1016.j.apcata.2016.10.031,test,0.1261,False
d8eff0e0bd,10.1016.j.cej.2020.125280,validation,0.1359,True
d90c9c5b72,10.1016.j.apt.2019.10.001,train,0.1494,True
d933f429cc,10.1016.j.carbon.2019.12.021,train,0.1333,True
dbbbce5020,10.1016.j.actbio.2019.04.023,test,0.2937,False
dc20484021,10.1016.j.ceramint.2019.12.153,validation,0.1313,True
dc25ff5266,10.1016.j.reactfunctpolym.2016.05.013,train,0.1304,True
dcfbfa74e4,10.1016.j.jinorgbio.2019.04.001,train,0.132,True
ddffc403e3,10.1016.j.ceramint.2020.02.278,test,0.1283,False
de1d3f1409,10.1016.j.aca.2019.07.066,train,0.173,True
dedf11eb6c,10.1016.j.nanoso.2019.100410,train,0.2182,True
dfeaa0d54b,10.1016.j.apcatb.2019.118317,train,0.1427,True
e071eefebb,10.1016.j.polymer.2020.122161,validation,0.1252,True
e111fb569d,10.1016.j.jmst.2019.10.032,train,0.1324,True
e1adc2ba25,10.1016.j.cej.2019.122175,train,0.1331,True
e211d9d7ac,10.1016.j.carbpol.2019.115709,train,0.2196,True
